"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\molecules\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\CompanyDetailsModal.tsx", "TypeScript JSX", 0, 0, 47, 0, 3, 50
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\ContactsTable.tsx", "TypeScript JSX", 0, 0, 100, 0, 11, 111
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\ContactsTableSkeleton.tsx", "TypeScript JSX", 0, 0, 58, 0, 4, 62
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\pages\ContactsPage.tsx", "TypeScript JSX", 0, 0, 7, 17, 4, 28
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\pages\ContactsPageView.tsx", "TypeScript JSX", 0, 0, 127, 6, 7, 140
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\pages\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\search\contactsSearchConfig.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\search\index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\application\hooks\useCompanyCustomers.ts", "TypeScript", 133, 0, 0, 0, 18, 151
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\application\hooks\useCustomerCrudSection.ts", "TypeScript", 109, 0, 0, 1, 13, 123
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\application\hooks\useInstantCustomers.ts", "TypeScript", 45, 0, 0, 9, 9, 63
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\application\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\domain\Customer.ts", "TypeScript", 7, 0, 0, 8, 3, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\domain\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\domain\types.ts", "TypeScript", 1, 0, 0, 1, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\index.ts", "TypeScript", 1, 0, 0, 7, 2, 10
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\infra\http\CustomersHttpRepository.ts", "TypeScript", 33, 0, 0, 11, 9, 53
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\infra\http\endpoints.ts", "TypeScript", 5, 0, 0, 0, 3, 8
"c:\Users\david\Downloads\marosProject\maros-next\src\features\customers\infra\http\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
